Date,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN,VPD,PRECTOTCORR
2003-02-24,24.66,33.61,15.48,38.58,1.61,18.86,2.021146132,0.0
2003-03-01,26.8,35.75,17.57,27.96,2.66,23.2,2.488243121,0.0
2003-03-06,21.76,33.38,11.7,15.55,2.3,24.9,2.27373083,0.01
2003-03-11,24.72,34.64,16.05,22.24,2.08,22.27,2.60311608,1.64
2003-03-16,24.6,32.68,18.31,48.04,2.04,21.76,1.840213566,22.13
2003-03-21,27.36,36.68,18.47,33.85,1.24,24.67,2.574399377,1.75
2003-03-26,28.61,37.22,19.98,34.77,1.83,23.69,2.697338144,1.94
2003-03-31,28.29,36.8,20.41,25.47,2.85,25.48,2.928998384,0.0
2003-04-05,29.59,37.02,22.99,19.25,1.58,23.32,3.279084502,4.06
2003-04-10,32.77,40.96,24.68,19.55,1.78,25.42,3.968363864,0.42
2003-04-15,32.27,41.65,24.36,18.54,2.68,26.9,4.096299559,0.06
2003-04-20,32.6,42.32,23.45,11.99,2.21,27.9,4.304462598,0.0
2003-04-25,32.03,39.85,23.79,31.99,2.43,23.97,3.346660116,5.33
2003-04-30,31.71,40.8,23.99,15.87,2.83,28.01,4.077706734,0.0
2003-05-05,30.98,40.45,22.01,10.56,2.54,27.43,4.006421749,0.0
2003-05-10,34.18,42.4,25.62,17.64,2.06,23.73,4.465616601,0.0
2003-05-15,35.16,43.0,27.32,14.68,3.01,26.18,4.74224743,0.0
2003-05-20,35.45,42.34,27.52,19.3,2.51,24.52,4.720866203,0.11
2003-05-25,35.6,42.46,28.21,19.17,3.19,25.38,4.777744525,0.01
2003-05-30,35.91,44.08,27.73,12.77,2.74,26.05,5.18666023,0.0
2003-06-04,36.05,43.12,29.42,27.38,4.33,26.67,4.445422404,2.32
2003-06-09,32.22,39.19,27.41,46.72,3.19,24.6,2.665683036,17.95
2003-06-14,30.49,36.81,24.92,57.86,3.07,19.49,1.940843396,15.4
2003-06-19,28.03,33.96,23.96,73.7,2.38,17.63,1.077311823,50.54
2003-06-24,25.18,27.81,23.22,88.88,3.0,11.23,0.365160069,110.43
2003-06-29,25.97,29.66,23.09,85.24,1.87,18.53,0.518742234,40.38
2003-07-04,26.39,29.84,23.4,84.4,2.74,13.52,0.562477222,30.88
2003-07-09,25.21,28.73,23.09,87.81,2.38,14.32,0.403325316,43.01
2003-07-14,26.81,30.76,23.66,82.84,1.37,17.45,0.627600368,28.7
2003-07-19,25.42,28.22,23.6,91.17,3.08,10.82,0.294291628,65.74
2003-07-24,25.77,29.46,23.19,85.54,3.46,12.59,0.504922862,62.06
2003-07-29,24.59,27.8,22.57,87.95,3.3,12.34,0.385441916,2.62
2003-08-03,23.71,25.7,22.1,90.78,4.03,9.71,0.275520072,43.56
2003-08-08,26.93,30.74,23.46,84.15,1.74,19.26,0.588231761,117.25
2003-08-13,24.42,26.98,22.31,92.44,3.35,7.82,0.233251586,95.95
2003-08-18,24.71,27.56,22.66,90.96,3.27,7.29,0.29712389,22.3
2003-08-23,25.25,28.21,22.6,90.94,2.73,13.4,0.302698095,70.38
2003-08-28,24.23,26.87,22.57,93.55,3.22,11.56,0.195466114,88.82
2003-09-02,24.12,25.72,22.66,95.76,3.51,5.0,0.123874187,111.81
2003-09-07,23.49,25.96,21.76,93.82,4.19,7.36,0.178112621,110.4
2003-09-12,23.71,26.1,22.04,94.15,3.4,10.49,0.170162443,79.17
2003-09-17,24.78,28.33,22.35,88.92,1.23,12.82,0.358325701,28.84
2003-09-22,24.8,28.15,22.41,90.03,1.26,16.07,0.322158536,62.76
2003-09-27,23.99,26.97,21.77,92.32,1.5,14.97,0.233284554,75.13
2003-10-02,22.19,27.42,17.61,85.14,1.85,22.23,0.423275048,10.08
2003-10-07,22.74,26.79,20.15,91.26,4.08,14.5,0.242772482,30.84
2003-10-12,22.67,28.71,17.22,69.09,1.35,21.77,0.837517937,0.0
2003-10-17,22.41,28.02,17.72,84.41,1.4,17.49,0.443848887,15.85
2003-10-22,20.91,26.12,17.13,89.39,1.94,16.47,0.281374129,28.7
2003-10-27,21.15,26.57,17.01,87.49,1.97,17.49,0.334368794,0.86
2003-11-01,20.13,25.7,14.82,69.66,1.18,18.84,0.725246527,0.88
2003-11-06,21.07,27.1,15.56,65.29,0.91,17.75,0.893839647,0.0
2003-11-11,18.16,24.58,12.39,67.02,0.97,18.65,0.709786668,0.0
2003-11-16,19.93,26.08,14.47,71.36,0.97,17.65,0.686530214,0.0
2003-11-21,19.37,25.55,14.07,75.58,1.23,16.53,0.550150263,0.0
2003-11-26,18.92,25.75,13.4,78.78,1.23,15.3,0.506054529,0.0
2003-12-01,17.26,25.2,11.54,54.85,1.3,17.1,0.908733676,0.0
2003-12-06,18.08,26.3,12.07,58.23,1.28,16.88,0.917774418,0.0
2003-12-11,18.18,27.03,11.4,67.12,1.47,16.65,0.754905241,0.03
2003-12-16,15.82,24.6,9.53,68.13,1.4,15.93,0.654843784,1.33
2003-12-21,16.09,24.53,9.66,61.88,1.11,15.81,0.774843464,0.0
2003-12-26,13.41,21.73,7.57,69.54,1.9,15.49,0.515712764,7.71
2003-12-31,15.35,24.41,7.72,54.49,1.12,17.08,0.877309066,0.0
2004-01-05,14.93,24.25,7.99,59.56,1.63,17.5,0.75672404,0.52
2004-01-10,17.82,27.09,10.4,52.86,1.49,17.79,1.053241708,0.0
2004-01-15,18.91,28.94,11.48,49.93,1.67,17.73,1.186442636,0.0
2004-01-20,16.2,23.73,13.02,69.59,2.18,16.07,0.602574819,32.79
2004-01-25,14.77,23.29,8.65,68.76,1.63,13.69,0.571064252,4.86
2004-01-30,16.91,23.37,11.72,84.37,1.92,9.93,0.320823973,6.98
2004-02-04,15.0,25.88,7.51,44.19,1.57,21.19,1.096765272,0.0
2004-02-09,19.77,29.32,12.2,49.12,1.39,18.69,1.245324593,0.0
2004-02-14,20.31,31.09,10.88,39.99,2.04,21.97,1.553519712,0.0
2004-02-19,22.14,33.54,13.15,29.77,2.05,22.79,2.064073732,0.0
2004-02-24,24.81,35.2,15.305,24.72,1.68,22.74,2.448315242,0.0
2004-02-29,24.3,35.0,16.55,18.12,2.2,23.99,2.593299415,0.0
2004-03-05,24.12,33.76,15.08,26.52,2.09,22.12,2.307374957,0.02
2004-03-10,27.51,37.97,18.58,17.41,1.87,24.57,3.113121447,0.0
2004-03-15,28.67,39.11,19.26,13.23,2.51,25.72,3.450452219,0.0
2004-03-20,29.74,39.81,19.73,13.3,2.18,25.66,3.684502263,0.0
2004-03-25,30.5,39.3,22.26,17.46,1.75,22.54,3.561716801,11.96
2004-03-30,28.34,37.22,21.33,45.48,2.65,21.73,2.346826511,5.83
2004-04-04,29.84,39.58,21.05,23.41,1.69,25.44,3.39843069,1.32
2004-04-09,32.65,42.05,23.12,17.72,3.33,27.51,4.14129683,0.0
2004-04-14,32.35,41.44,23.68,16.28,3.15,27.35,4.11178683,0.0
2004-04-19,32.67,40.76,24.02,20.24,2.37,25.03,3.992264902,4.95
2005-02-13,21.62,31.02,14.0,53.12,2.43,20.96,1.408573463,0.0
2005-02-18,21.28,30.56,13.84,53.7,2.12,21.34,1.300720347,0.0
2005-02-23,20.71,30.21,12.19,39.85,1.93,21.82,1.455234343,1.86
2005-02-28,26.17,34.7,19.08,47.74,1.89,20.33,1.916111395,2.14
2005-03-05,22.86,30.23,18.2,61.92,1.74,19.22,1.144776081,13.21
2005-03-10,23.05,30.87,15.15,47.83,1.87,23.05,1.500231037,2.44
2005-03-15,28.0,38.16,18.84,30.42,1.84,24.8,2.86329881,0.0
2005-03-20,27.05,36.21,18.96,22.43,2.25,24.68,2.890116907,0.26
2005-03-25,28.76,38.18,19.2,19.26,1.92,25.88,3.21340844,0.0
2005-03-30,27.33,36.36,19.93,20.86,3.07,25.43,2.930822722,0.0
2005-04-04,30.66,39.14,22.46,19.98,2.38,26.29,3.589663719,2.56
2005-04-09,28.24,38.65,17.85,10.38,2.54,26.06,3.182561821,0.0
2005-04-14,31.44,40.08,23.46,15.69,1.98,24.11,3.884488229,8.35
2005-04-19,30.74,39.11,23.63,31.5,1.82,19.49,3.16525124,0.94
2005-04-24,30.61,38.5,22.97,24.19,2.3,24.95,3.441724303,5.2
2005-04-29,29.32,36.65,23.32,45.95,1.65,23.51,2.345078704,14.69
2005-05-04,32.18,40.04,25.29,27.51,2.37,24.63,3.778801663,0.78
2005-05-09,32.64,41.79,23.41,13.23,2.41,29.53,4.323532499,0.0
2005-05-14,35.11,43.65,26.98,14.16,2.75,27.96,4.838236052,0.0
2005-05-19,35.85,44.31,27.32,15.7,2.24,27.71,5.205489493,0.02
2005-05-24,35.55,42.26,28.2,20.69,1.74,22.59,4.668586606,5.75
2005-05-29,33.87,40.14,26.62,35.16,0.78,20.85,3.564522327,0.05
2005-06-03,35.81,43.54,28.02,18.61,2.33,25.48,4.947466153,0.73
2005-06-08,35.79,43.0,28.69,20.57,2.28,25.0,4.730801453,0.06
2005-06-13,36.3,43.54,29.18,17.55,2.94,21.29,5.058701621,0.23
