system:index,NDVI,date,month,sensor,site_key,site_label,source,year,.geo
2_0,0.5883332528726419,2016-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,0.5916044747725393,2016-01-15,1,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_0,0.004487275693311582,2016-01-15,1,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,0.649039032869785,2016-02-15,2,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,0.6563426991150443,2016-03-15,3,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,0.4371216439225642,2016-03-15,3,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2,-0.013097939958592132,2016-03-15,3,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,0.6286734829329962,2016-04-15,4,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,0.42678013329101866,2016-04-15,4,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,0.0723,2016-04-15,4,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_3,0.13202048057212284,2016-04-15,4,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,0.648573198482933,2016-05-15,5,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,0.5680065594059407,2016-05-15,5,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,0.06438301333068047,2016-05-15,5,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_4,0.4715418847148184,2016-05-15,5,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,0.7035429835651075,2016-06-15,6,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5,0.2442340571601464,2016-06-15,6,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_5,0.6258380082880342,2016-06-15,6,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,0.8140255924170616,2016-07-15,7,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,0.5974797427652735,2016-07-15,7,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_6,0.4728547826086956,2016-07-15,7,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_7,0.6222391125198099,2016-08-15,8,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_7,0.4756208574228319,2016-08-15,8,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,0.809466479798216,2016-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_8,0.6011205223880598,2016-09-15,9,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
