system:index,NDVI,date,month,sensor,site_key,site_label,source,year,.geo
2_0,0.5883332528726419,2016-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,0.649039032869785,2016-02-15,2,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,0.6563426991150443,2016-03-15,3,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,0.6286734829329962,2016-04-15,4,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,0.648573198482933,2016-05-15,5,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,0.7035429835651075,2016-06-15,6,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,0.8140255924170616,2016-07-15,7,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,0.809466479798216,2016-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,0.8008561584262527,2016-10-15,10,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,0.7134868562401264,2016-11-15,11,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11,0.6894939952957697,2016-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_12,0.7381240284360191,2017-01-15,1,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_13,0.6685578601416214,2017-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_14,0.7056408659924147,2017-03-15,3,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_15,0.6665202275600506,2017-04-15,4,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_16,0.6108018015170671,2017-05-15,5,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_19,0.8245996515679442,2017-08-15,8,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20,0.8010337209141202,2017-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_21,0.76404706068268,2017-10-15,10,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_22,0.817393385672158,2017-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_23,0.6830501860408483,2017-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_24,0.6870293478390799,2018-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_25,0.7337281486502569,2018-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_26,0.7017480691115572,2018-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_27,0.6734781605562579,2018-04-15,4,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_28,0.5848486295828066,2018-05-15,5,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_29,0.7150403603034134,2018-06-15,6,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_30,0.6863565406075636,2018-07-15,7,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_31,0.8695181823888603,2018-08-15,8,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_32,0.7095470922882428,2018-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_33,0.8410569216182049,2018-10-15,10,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_34,0.7733577251184836,2018-11-15,11,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_35,0.6352441746555288,2018-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_36,0.5773213124714449,2019-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_37,0.6502413010361555,2019-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_38,0.6028908545765181,2019-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_39,0.5358319281311574,2019-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_40,0.5285350385891628,2019-05-15,5,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_41,0.594363749980479,2019-06-15,6,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_42,0.7457750710900473,2019-07-15,7,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_44,0.8203330483522049,2019-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_45,0.6828131276719316,2019-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_46,0.7204027002561322,2019-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_47,0.6327058780380286,2019-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_48,0.5302860904255914,2020-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_49,0.552775247332191,2020-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_50,0.7004418219947778,2020-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_51,0.6601067480092363,2020-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_52,0.6993854318203934,2020-05-15,5,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_53,0.8009938685208594,2020-06-15,6,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_54,0.7291386219974716,2020-07-15,7,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_55,0.8029415613147914,2020-08-15,8,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_56,0.8501642067003793,2020-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_57,0.7722140344267561,2020-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_58,0.7449586581695001,2020-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_59,0.5800913267633314,2020-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_60,0.5717666354534816,2021-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_61,0.634903532625014,2021-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_62,0.6010409203703834,2021-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_63,0.5052418487258812,2021-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_64,0.5076074161499,2021-05-15,5,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_65,0.656674923878847,2021-06-15,6,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_66,0.8187559999999999,2021-07-15,7,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_67,0.15461978113931402,2021-08-15,8,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_68,0.8218133059418457,2021-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_69,0.6427916051927455,2021-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_70,0.63117195028389,2021-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_71,0.6017270370144625,2021-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_72,0.6867442548327279,2022-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_73,0.7282846771561575,2022-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_74,0.7513277375587244,2022-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_75,0.6897090745936759,2022-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_76,0.6525732629476841,2022-05-15,5,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_77,0.6807000000000001,2022-06-15,6,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_79,0.7974554993678885,2022-08-15,8,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_80,0.8077430992736079,2022-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_81,0.7011049101235107,2022-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_82,0.770883540701852,2022-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_83,0.7593663554994776,2022-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_84,0.6633182625753488,2023-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_85,0.7137210109861624,2023-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_86,0.746758601284984,2023-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_87,0.7439147010245832,2023-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_88,0.7492831616513942,2023-05-15,5,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_89,0.8352,2023-06-15,6,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_90,0.6620691909385115,2023-07-15,7,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_91,0.7455322216019021,2023-08-15,8,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_92,0.8048423830594184,2023-09-15,9,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),MODIS,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_93,0.8007483488261613,2023-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_94,0.6820209799004998,2023-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_95,0.7363583281807973,2023-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_96,0.5407523644682989,2024-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_97,0.5170744926465431,2024-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_98,0.6909334903524054,2024-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_99,0.7016607024856525,2024-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_100,0.6118758856520442,2024-05-15,5,Sentinel2_SR_Harmonized_10m,MNG_Bhitarkanika,Mangrove | Bhitarkanika NP (Odisha),Sentinel2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
