system:index,NDVI,date,month,sensor,site_key,site_label,source,year,.geo
1_2_0,0.5916044747725393,2016-01-15,1,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,0.4371216439225642,2016-03-15,3,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,0.42678013329101866,2016-04-15,4,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,0.5680065594059407,2016-05-15,5,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,0.5974797427652735,2016-07-15,7,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_8,0.6011205223880598,2016-09-15,9,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_9,0.47100152587622857,2016-10-15,10,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_10,0.4736496684559519,2016-11-15,11,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_11,0.24852553289483328,2016-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_12,0.6443974495999683,2017-01-15,1,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_13,0.5167597905426848,2017-02-15,2,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_14,0.48457050142811803,2017-03-15,3,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_15,0.4173979054268486,2017-04-15,4,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_16,0.39969447794351,2017-05-15,5,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_20,0.5192997838953651,2017-09-15,9,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_21,0.5446310695017454,2017-10-15,10,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_22,0.5248791228412584,2017-11-15,11,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_23,0.4028164292497627,2017-12-15,12,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_24,0.16756296462923434,2018-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_25,0.20794462234023464,2018-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_26,0.40370844227216346,2018-03-15,3,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_27,0.5653373663164576,2018-04-15,4,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_28,0.5765129496402878,2018-05-15,5,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_32,0.5521408525350562,2018-09-15,9,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_33,0.47042319898444934,2018-10-15,10,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_34,0.5434930831280149,2018-11-15,11,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_35,0.16372468461159137,2018-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_36,0.19345680440954208,2019-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_37,0.13143838823194604,2019-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_38,0.25387473659153903,2019-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_39,0.3948596002518343,2019-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_40,0.5086817899405948,2019-05-15,5,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_44,0.500511615360203,2019-09-15,9,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_45,0.24583082574935708,2019-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_46,0.23409255789830768,2019-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_47,0.14472764478194944,2019-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_48,0.2577280343818051,2020-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_49,0.2269854634635597,2020-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_50,0.24930365778990615,2020-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_51,0.19694918147921725,2020-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_52,0.30140743377577306,2020-05-15,5,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_56,0.6480583877995642,2020-09-15,9,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_57,0.22057679303101368,2020-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_58,0.21119741007517456,2020-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_59,0.23531818848961733,2020-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_60,0.19411526644633875,2021-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_61,0.21804350956933696,2021-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_62,0.25281910846345157,2021-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_63,0.31779224624080943,2021-04-15,4,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_64,0.10440318543799772,2021-05-15,5,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_68,0.3606144948755491,2021-09-15,9,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_69,0.3291697355101034,2021-10-15,10,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_70,0.23115960140891245,2021-11-15,11,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_71,0.2090135445226917,2021-12-15,12,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_72,0.22523495557656548,2022-01-15,1,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_73,0.10568731521938252,2022-02-15,2,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_74,0.13138870605093295,2022-03-15,3,Sentinel2_SR_Harmonized_10m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_75,0.34175215980598106,2022-04-15,4,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_76,-0.0011,2022-05-15,5,MODIS_MOD13Q1_250m,MNG_Sundarbans,Mangrove | Sundarbans - Sajnekhali (West Bengal),MODIS,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
