system:index,NDVI,date,month,sensor,site_key,site_label,source,year,.geo
1_1_2_3,0.0723,2016-04-15,4,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,0.06438301333068047,2016-05-15,5,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5,0.2442340571601464,2016-06-15,6,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_7,0.6222391125198099,2016-08-15,8,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_8,0.418505090975286,2016-09-15,9,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_9,0.29256158644396846,2016-10-15,10,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_10,0.28104487989886223,2016-11-15,11,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_11,0.2730405943724312,2016-12-15,12,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_15,0.05191031746031747,2017-04-15,4,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_16,0.09920617330917875,2017-05-15,5,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_17,0.2297957427937916,2017-06-15,6,MODIS_MOD13Q1_250m,MTF_GreatHimal,Montane Temperate | Great Himalayan NP (Himachal Pradesh),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
