system:index,NDVI,date,month,sensor,site_key,site_label,source,year,.geo
1_1_1_0,0.004487275693311582,2016-01-15,1,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2,-0.013097939958592132,2016-03-15,3,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_3,0.13202048057212284,2016-04-15,4,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_4,0.4715418847148184,2016-05-15,5,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_5,0.6258380082880342,2016-06-15,6,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_6,0.4728547826086956,2016-07-15,7,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_7,0.4756208574228319,2016-08-15,8,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_8,0.5785865707629587,2016-09-15,9,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_9,0.37015207234733183,2016-10-15,10,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_10,0.24520202256714718,2016-11-15,11,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_11,0.2316040142614949,2016-12-15,12,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_14,0.005058614864864865,2017-03-15,3,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_15,0.1868113771386835,2017-04-15,4,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_16,0.5356865343472926,2017-05-15,5,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_17,0.6377846821950257,2017-06-15,6,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_19,0.45753467197370246,2017-08-15,8,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_20,0.5365907699589775,2017-09-15,9,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_21,0.43876295361312717,2017-10-15,10,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_22,0.32480345373891006,2017-11-15,11,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_23,0.2269386990727097,2017-12-15,12,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_24,0.1601715879642215,2018-01-15,1,Sentinel2_SR_Harmonized_10m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_25,0.0064,2018-02-15,2,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_26,0.13104823191789486,2018-03-15,3,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_27,0.2597943914473684,2018-04-15,4,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_28,0.4230307172916077,2018-05-15,5,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_29,0.6374103245147485,2018-06-15,6,MODIS_MOD13Q1_250m,MTF_Kedarnath,Montane Temperate | Kedarnath WS - Oak Belt (Uttarakhand),MODIS,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
