Date,NDVI
"Apr 1, 2017",0.166
"Apr 21, 2017",0.142
"May 11, 2017",0.217
"May 31, 2017",0.258
"Jun 20, 2017",0.388
"Oct 3, 2017",0.519
"Oct 23, 2017",0.64
"Dec 12, 2017",0.476
"Dec 17, 2017",0.569
"Dec 22, 2017",0.548
"Jan 1, 2018",0.421
"Jan 11, 2018",0.395
"Jan 16, 2018",0.399
"Jan 21, 2018",0.41
"Jan 31, 2018",0.535
"Feb 10, 2018",0.473
"Feb 15, 2018",0.523
"Feb 20, 2018",0.492
"Feb 25, 2018",0.55
"Mar 2, 2018",0.452
"Mar 7, 2018",0.337
"Mar 12, 2018",0.331
"Mar 17, 2018",0.363
"Mar 22, 2018",0.292
"Mar 27, 2018",0.236
"Apr 1, 2018",0.251
"Apr 6, 2018",0.207
"Apr 11, 2018",0.12
"Apr 16, 2018",0.112
"Apr 21, 2018",0.109
"Apr 26, 2018",0.114
"May 11, 2018",0.15
"May 16, 2018",0.199
"May 31, 2018",
"Jun 5, 2018",0.242
"Jun 15, 2018",0.361
"Jun 20, 2018",0.426
"Aug 19, 2018",0.389
"Sep 8, 2018",0.531
"Sep 13, 2018",0.508
"Oct 13, 2018",0.48
"Nov 27, 2018",0.514
"Dec 27, 2018",0.469
"Jan 1, 2019",0.573
"Jan 6, 2019",0.574
"Jan 11, 2019",0.405
"Jan 16, 2019",0.462
"Jan 21, 2019",0.536
"Feb 5, 2019",0.537
"Feb 15, 2019",0.433
"Feb 20, 2019",0.496
"Feb 25, 2019",0.479
"Mar 7, 2019",0.214
"Mar 12, 2019",0.201
"Mar 17, 2019",0.186
"Mar 22, 2019",0.183
"Mar 27, 2019",0.174
"Apr 1, 2019",0.172
"Apr 6, 2019",0.144
"Apr 11, 2019",0.165
"Apr 16, 2019",0.144
"Apr 21, 2019",0.167
"Apr 26, 2019",0.137
"May 11, 2019",0.129
"May 16, 2019",0.122
"May 21, 2019",0.128
"May 26, 2019",0.119
"Jun 5, 2019",0.117
"Jun 15, 2019",0.157
"Jul 20, 2019",0.393
"Aug 24, 2019",0.638
"Aug 29, 2019",0.588
"Sep 13, 2019",0.377
"Sep 28, 2019",0.713
"Oct 3, 2019",0.647
"Oct 8, 2019",0.618
"Nov 2, 2019",0.583
"Jan 1, 2020",0.525
"Jan 11, 2020",0.471
"Jan 16, 2020",0.59
"Jan 21, 2020",0.634
"Jan 26, 2020",0.573
"Jan 31, 2020",0.568
"Feb 5, 2020",0.536
"Feb 10, 2020",0.561
"Feb 15, 2020",0.546
"Feb 20, 2020",0.516
"Mar 6, 2020",0.444
"Mar 11, 2020",0.424
"Mar 16, 2020",0.457
"Mar 21, 2020",0.339
"Mar 26, 2020",0.372
"Mar 31, 2020",0.332
"Apr 10, 2020",0.315
"Apr 15, 2020",0.276
"Apr 20, 2020",0.266
"Apr 30, 2020",0.13
"May 5, 2020",0.157
"May 20, 2020",0.25
"Jun 14, 2020",
"Jun 24, 2020",0.249
"Jul 9, 2020",0.46
"Sep 17, 2020",0.317
"Sep 22, 2020",0.72
"Oct 27, 2020",0.6
"Nov 1, 2020",0.559
"Nov 6, 2020",0.567
"Nov 21, 2020",0.67
"Dec 11, 2020",0.503
"Dec 21, 2020",0.452
"Dec 26, 2020",
"Jan 15, 2021",0.463
"Jan 20, 2021",0.518
"Jan 25, 2021",0.535
"Jan 30, 2021",0.298
"Feb 4, 2021",0.426
"Feb 9, 2021",0.548
"Feb 14, 2021",0.53
"Feb 24, 2021",0.475
"Mar 1, 2021",0.463
"Mar 6, 2021",0.472
"Mar 11, 2021",0.457
"Mar 16, 2021",0.425
"Mar 21, 2021",0.37
"Mar 26, 2021",0.316
"Mar 31, 2021",0.245
"Apr 15, 2021",0.153
"Apr 20, 2021",0.123
"Apr 25, 2021",0.154
"May 5, 2021",0.178
"May 30, 2021",0.14
"Jun 4, 2021",
"Jun 9, 2021",0.309
"Aug 8, 2021",0.535
"Dec 1, 2021",0.533
"Dec 6, 2021",0.346
"Dec 21, 2021",0.533
"Dec 26, 2021",0.286
"Jan 20, 2022",0.328
"Jan 30, 2022",0.54
"Feb 4, 2022",0.457
