system:index,NDVI,NDVI_raw,date,sensor,site_key,site_label,.geo
2_0,0.2604792220113852,0.2667627767235926,2016-01-01,MODIS_MOD13Q1_250m,KHF_Cuttack,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,0.3663360208267592,0.35135809403597346,2016-01-01,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0,0.6707825631600552,0.6643925196850393,2016-01-01,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_0,0.5916044747725393,0.5554144086021506,2016-01-01,MODIS_MOD13Q1_250m,MNG_Sundarbans,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_0,0.40825478757133804,0.4161372859860496,2016-01-01,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_0,0.6342575719253876,0.6530009800822008,2016-01-01,MODIS_MOD13Q1_250m,NEE_Kaziranga,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_0,0.5495527611233829,0.5772857999368888,2016-01-01,MODIS_MOD13Q1_250m,SHO_Eravikulam,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_0,0.801681386169877,0.8107979160088414,2016-01-01,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_0,0.5802986370839938,0.6393494136291603,2016-01-01,MODIS_MOD13Q1_250m,TDD_Mudumalai,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_0,0.6733898642248186,0.6579002210293654,2016-01-01,MODIS_MOD13Q1_250m,TDD_Tirupati,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_0,0.8341898323845669,0.8434184060721063,2016-01-01,MODIS_MOD13Q1_250m,TMD_Bastar,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_0,0.36496736858771384,0.36094075364154543,2016-01-01,MODIS_MOD13Q1_250m,TMD_Simlipal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_0,0.6072050586742788,0.6119020932445292,2016-01-01,MODIS_MOD13Q1_250m,TWE_Agumbe,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_0,0.8262026157260621,0.8274997780596067,2016-01-01,MODIS_MOD13Q1_250m,TWE_SilentValley,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,0.258174850892408,0.25419566729917775,2016-01-17,MODIS_MOD13Q1_250m,KHF_Cuttack,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,0.3645900366837462,0.381313947617545,2016-01-17,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,0.6652235945719375,0.6771726066350712,2016-01-17,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_1,0.556618681901676,0.6277945409429281,2016-01-17,MODIS_MOD13Q1_250m,MNG_Sundarbans,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1,0.3977607779936867,0.40037228915662654,2016-01-17,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_1,0.6387330559645998,0.6155141637685743,2016-01-17,MODIS_MOD13Q1_250m,NEE_Kaziranga,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_1,0.5439469232362316,0.521819722309877,2016-01-17,MODIS_MOD13Q1_250m,SHO_Eravikulam,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_1,0.8070454078890626,0.7925648563309127,2016-01-17,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_1,0.539374357150828,0.5212478605388273,2016-01-17,MODIS_MOD13Q1_250m,TDD_Mudumalai,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1,0.6576616577717854,0.6888795074202717,2016-01-17,MODIS_MOD13Q1_250m,TDD_Tirupati,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_1,0.7975548029752662,0.8249612586970274,2016-01-17,MODIS_MOD13Q1_250m,TMD_Bastar,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_1,0.3646390337571696,0.36899398353388224,2016-01-17,MODIS_MOD13Q1_250m,TMD_Simlipal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_1,0.5923044256354065,0.6025080241040283,2016-01-17,MODIS_MOD13Q1_250m,TWE_Agumbe,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_1,0.8331586176997772,0.8249054533925175,2016-01-17,MODIS_MOD13Q1_250m,TWE_SilentValley,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,0.2614107478068221,0.25356610865445356,2016-02-02,MODIS_MOD13Q1_250m,KHF_Cuttack,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,0.3596956667274865,0.3610980683977201,2016-02-02,MODIS_MOD13Q1_250m,KHF_Warangal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,0.6584168907915472,0.6541056573957017,2016-02-02,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_2,0.39473826936534023,0.3767727588383839,2016-02-02,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_2,0.6188288170064814,0.6476840240430244,2016-02-02,MODIS_MOD13Q1_250m,NEE_Kaziranga,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_2,0.5225364387395022,0.5327352474619289,2016-02-02,MODIS_MOD13Q1_250m,SHO_Eravikulam,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_2,0.7892419727592719,0.8177734513274338,2016-02-02,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_2_2,0.4574101330729888,0.45752579728449655,2016-02-02,MODIS_MOD13Q1_250m,TDD_Mudumalai,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_2,0.5949949174286636,0.626205244865719,2016-02-02,MODIS_MOD13Q1_250m,TDD_Tirupati,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_2_2,0.7575072167861433,0.7242847441566646,2016-02-02,MODIS_MOD13Q1_250m,TMD_Bastar,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_2,0.3849279039086814,0.363982364096081,2016-02-02,MODIS_MOD13Q1_250m,TMD_Simlipal,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_2,0.5812844335217747,0.5625031595576621,2016-02-02,MODIS_MOD13Q1_250m,TWE_Agumbe,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_2,0.8250593964237812,0.8470706216472073,2016-02-02,MODIS_MOD13Q1_250m,TWE_SilentValley,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,0.27630113708149084,0.27647046746683507,2016-02-18,MODIS_MOD13Q1_250m,KHF_Cuttack,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
