system:index,NDVI,NDVI_raw,date,sensor,site_key,site_label,.geo
1_1_2_0,0.6707825631600552,0.6643925196850393,2016-01-01,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,0.6652235945719375,0.6771726066350712,2016-01-17,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,0.6584168907915472,0.6541056573957017,2016-02-02,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,0.6737768647281922,0.6439724083438685,2016-02-18,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,0.6522192688579858,0.7232525284450064,2016-03-05,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_5,0.6548570375052676,0.5894328697850822,2016-03-21,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_6,0.6155932785503582,0.6518857142857142,2016-04-06,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_7,0.6218583122629583,0.6054612515802782,2016-04-22,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_8,0.6342025495153814,0.6082279709228824,2016-05-08,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_9,0.6668964601769911,0.6889184260429836,2016-05-24,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_10,0.7354956673417176,0.7035429835651075,2016-06-09,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_11,0.7691789674010424,0.8140255924170616,2016-07-27,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_12,0.810986184004498,0.7899683262209578,2016-09-13,MODIS_MOD13Q1_250m,MNG_Bhitarkanika,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
