system:index,NDVI,NDVI_raw,date,sensor,site_key,site_label,.geo
1_1_1_1_1_1_2_0,0.40825478757133804,0.4161372859860496,2016-01-01,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_1,0.3977607779936867,0.40037228915662654,2016-01-17,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_2,0.39473826936534023,0.3767727588383839,2016-02-02,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3,0.395503082912458,0.40706976010101026,2016-02-18,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4,0.4110449600168351,0.4026667297979799,2016-03-05,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5,0.46847985313712615,0.42339839015151515,2016-03-21,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6,0.4951124979747843,0.5793744394618834,2016-04-22,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7,0.5889813060260674,0.48256466431095413,2016-05-08,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8,0.5133564928721062,0.7050048143053644,2016-05-24,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9,0.5728971748187335,0.35250000000000004,2016-06-25,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10,0.5444545072483462,0.6611867101508359,2016-08-12,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11,0.6601692063224204,0.6196768115942028,2016-09-13,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12,0.6481354839152395,0.6996440972222224,2016-09-29,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13,0.628373746040782,0.625085542929293,2016-10-15,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_14,0.571509332318642,0.5603915979708308,2016-10-31,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_15,0.5274537616634328,0.5290508560558023,2016-11-16,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_16,0.49032406102334014,0.4929188309636651,2016-12-02,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_17,0.4621490134646844,0.4490024960505529,2016-12-18,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_18,0.43312591128127714,0.4445257133798352,2017-01-01,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_19,0.4116975645337864,0.4058495244134433,2017-01-17,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20,0.38984896815464953,0.38471745580808087,2017-02-02,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_21,0.3876889414983165,0.3789799242424243,2017-02-18,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_22,0.410490043613976,0.3993694444444445,2017-03-06,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_23,0.45134511516279757,0.45312076215505925,2017-03-22,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_24,0.5066332885634709,0.501545138888889,2017-04-07,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_25,0.567618507996633,0.5652339646464647,2017-04-23,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_26,0.6322332702020202,0.6360764204545456,2017-05-09,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_27,0.6882367301762949,0.6953894255050507,2017-05-25,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_28,0.7074634978530626,0.7332443445692887,2017-07-12,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_29,0.6994189587116484,0.6937567234848485,2017-09-14,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_30,0.6730779145622895,0.6712558080808081,2017-09-30,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_31,0.6372137520309842,0.6542212121212121,2017-10-16,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_32,0.5998143418970939,0.5861642358909323,2017-11-01,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_33,0.5545599304843888,0.5590575776791376,2017-11-17,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_34,0.5252475653875167,0.5184579778830963,2017-12-03,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_35,0.4902940777527671,0.498227140600316,2017-12-19,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_36,0.4504145636708304,0.45419711477488917,2018-01-01,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_37,0.4064205525784692,0.39881943563728606,2018-01-17,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_38,0.3667157798925634,0.3662451073232324,2018-02-02,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_39,0.37033890993265994,0.3350827967171718,2018-02-18,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_40,0.4030618686868688,0.40968882575757576,2018-03-06,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_41,0.4689655303030303,0.46441398358585867,2018-03-22,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_42,0.5034039667508418,0.5327937815656565,2018-04-07,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_43,0.5144434695934105,0.5130041351010102,2018-04-23,MODIS_MOD13Q1_250m,NEE_Cherrapunji,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
