system:index,NDVI,NDVI_raw,date,sensor,site_key,site_label,.geo
1_1_1_1_1_2_0,0.801681386169877,0.8107979160088414,2016-01-01,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_1,0.8070454078890626,0.7925648563309127,2016-01-17,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_2,0.7892419727592719,0.8177734513274338,2016-02-02,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_3,0.7756944584913614,0.7573876106194694,2016-02-18,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_4,0.7509750210703753,0.751922313527181,2016-03-05,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_5,0.7390651390644756,0.7436151390644756,2016-03-21,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_6,0.7438504846186264,0.7216579646017701,2016-04-06,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_7,0.7362071955330807,0.7662783501896335,2016-04-22,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_8,0.7412802781289508,0.7206852718078385,2016-05-08,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_9,0.6985084996172634,0.7368772123893805,2016-05-24,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_10,0.6605606331889301,0.637963014654571,2016-06-25,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_11,0.6634192825778894,0.606841672522839,2016-07-27,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_12,0.7175292722147351,0.7454531605562583,2016-08-28,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_13,0.7666387967864653,0.8002929835651076,2016-09-29,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_14,0.7932517260063716,0.7541702462380301,2016-10-15,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_15,0.7999646637023304,0.8252919482159772,2016-10-31,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_16,0.8200045245887665,0.8204317966529838,2016-11-16,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_17,0.8188128380055785,0.8142898288973383,2016-12-02,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_18,0.8254158482150302,0.8217168884664132,2016-12-18,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_19,0.8292270693372416,0.840240827281339,2017-01-01,MODIS_MOD13Q1_250m,SHO_Mukurthi,2016-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
