system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
1_1_1_1_1_1_2_0,-0.36514915058734165,0.11888898912313266,-0.2609693299488467,2016-01-01,1,1,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_0,-0.6206826917199875,0.54459409544634,-0.6294903825217635,2016-01-01,1,1,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_1,0.8790271874412431,-0.03505598899401121,0.02419249287470734,2016-02-01,32,2,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,-0.24243923681603025,0.16968616164400985,-0.21290135721436917,2016-02-01,32,2,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_2,-0.6292491654082439,0.33795023221578147,-0.5210669439331682,2016-03-01,61,3,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,-0.34522511032509073,0.2254038913805803,-0.3088179178990597,2016-04-01,92,4,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,-0.2765222318672748,0.20506726489263438,-0.2623158964085674,2016-04-01,92,4,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_4,-0.48463359178793786,0.43377288628919514,-0.45085255104065636,2016-05-01,122,5,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,-0.31981344117278443,0.1957057442612006,-0.26702869781138333,2016-05-01,122,5,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,-0.28432328510042026,0.18335132083017397,-0.24160530011611797,2016-05-01,122,5,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4,-0.31190634060460753,0.05719957912927066,-0.17742394956632068,2016-05-01,122,5,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_4,-0.5762263358620532,0.24655144539360035,-0.4098873612828456,2016-05-01,122,5,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,-0.3174159633029779,0.1942421782514781,-0.265098943788063,2016-06-01,153,6,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_5,-0.5778379057469204,0.251424451539151,-0.40170035901003726,2016-06-01,153,6,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8,-0.34685133418107783,0.1325663229214383,-0.2418060382692451,2016-09-01,245,9,2,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_9,-0.38257807747787825,0.12147870071386394,-0.2519335099754571,2016-10-01,275,10,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_9,-0.449260258775198,0.3306305868647084,-0.4343886183158016,2016-10-01,275,10,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,-0.17336946272401618,0.20560199721645106,-0.2161786060300688,2016-10-01,275,10,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_9,-0.4487438450023805,0.7131413571680044,-0.6489171899167555,2016-10-01,275,10,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9,-0.36072347798533844,0.14193088686839136,-0.26832458844806556,2016-10-01,275,10,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_2_9,-0.5553985774795648,0.7322279912226612,-0.6601728250171381,2016-10-01,275,10,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_10,-0.3837268247868035,0.11668425844582597,-0.24728632530105382,2016-11-01,306,11,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_10,-0.622857850076524,0.27384293391528536,-0.43915969053520654,2016-11-01,306,11,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_10,-0.4145426769155067,0.2968130884540781,-0.3908288591083227,2016-11-01,306,11,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,-0.2239173237401969,0.22069089353003443,-0.2488252822366295,2016-11-01,306,11,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_2_10,-0.5787231836529669,0.8322012752689933,-0.7450580804898601,2016-11-01,306,11,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_2_10,-0.5349870355451392,0.7605108910471402,-0.7039126078952456,2016-11-01,306,11,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
