system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
9,-0.38257807747787825,0.12147870071386394,-0.2519335099754571,2016-10-01,275,10,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.3837268247868035,0.11668425844582597,-0.24728632530105382,2016-11-01,306,11,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.3385181491835107,0.09611281881891191,-0.2039196720258823,2016-12-01,336,12,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.775604273406752,-0.01674855958502291,0.013850440526766608,2017-01-01,1,1,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.3647182590480827,0.12205245172175584,-0.23358491348068589,2017-10-01,274,10,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.24454383188713183,0.037408495091535376,-0.08780727957697186,2017-11-01,305,11,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.7044514489052759,-0.021058761745412657,0.02436683462418685,2017-12-01,335,12,3,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.6810679175468966,-0.02245541034959923,0.017724825624415755,2018-01-01,1,1,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.6985266762977583,-0.013065405541828404,0.007659772423220507,2018-02-01,32,2,4,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.8111155238398694,-0.03178704731381675,0.029980142797727045,2018-03-01,60,3,5,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_Spiti,Alpine Subalpine | Spiti Valley Pin Valley NP HP,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
