system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
1,0.8790271874412431,-0.03505598899401121,0.02419249287470734,2016-02-01,32,2,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.48463359178793786,0.43377288628919514,-0.45085255104065636,2016-05-01,122,5,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.622857850076524,0.27384293391528536,-0.43915969053520654,2016-11-01,306,11,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.6100305185769578,0.2630502760393336,-0.4256192560298837,2016-12-01,336,12,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.26303806986206063,0.09752588808721746,-0.17712970714732804,2017-04-01,91,4,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.48312014015166904,0.06687249188149792,-0.11216836748247531,2017-12-01,335,12,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.4258524563190635,0.21363447818167514,-0.34379447733960056,2018-01-01,1,1,3,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.15078913962272866,0.15389710613747762,-0.2625598936723514,2018-02-01,32,2,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.5661081352553226,0.3256007606812579,-0.4405298237183517,2018-10-01,274,10,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.1475771804318336,0.1776196615296433,-0.28675868206476574,2018-11-01,305,11,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.34021457767909524,0.21318401332252787,-0.33946607750386754,2018-12-01,335,12,4,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.74616177963122,-0.007044656824542852,-0.023712328275592873,2019-04-01,91,4,2,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-0.32183840357914045,0.2856184967636039,-0.34000618962646684,2019-06-01,152,6,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-0.4020009758059047,0.805786719836077,-0.6789743840934902,2019-08-01,213,8,1,May-Oct,Sentinel2_SR_Harmonized_10m,ALP_ValleyFlowers,Alpine Subalpine | Valley of Flowers NP Uttarakhand,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
