system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
3,-0.34522511032509073,0.2254038913805803,-0.3088179178990597,2016-04-01,92,4,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.31981344117278443,0.1957057442612006,-0.26702869781138333,2016-05-01,122,5,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.3174159633029779,0.1942421782514781,-0.265098943788063,2016-06-01,153,6,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.449260258775198,0.3306305868647084,-0.4343886183158016,2016-10-01,275,10,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.4145426769155067,0.2968130884540781,-0.3908288591083227,2016-11-01,306,11,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.47254964957355383,0.31498318787291435,-0.44214119479424613,2016-12-01,336,12,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-0.30174414402043775,0.23346000960861563,-0.2818364963978334,2017-01-01,1,1,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.34300288030365467,0.24854087461753377,-0.311965599417371,2017-02-01,32,2,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.3614510736575544,0.26671986970236566,-0.34017061289892564,2017-03-01,60,3,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.3100720205720053,0.21340295777988447,-0.28524112376145744,2017-04-01,91,4,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.33072444147212754,0.2292615172560691,-0.2973930709072693,2017-06-01,152,6,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.3765926803559833,0.28431345943591263,-0.3585413087390093,2017-10-01,274,10,5,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.3960144464534982,0.28769133866707863,-0.3769574681026349,2017-11-01,305,11,4,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.3448856665994076,0.24976179137977372,-0.3244368048675419,2017-12-01,335,12,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.33053318317314273,0.23354807588827214,-0.3049762769163525,2018-01-01,1,1,4,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.34918907355899886,0.24160535536880565,-0.3184881065383424,2018-02-01,32,2,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.33861929808063346,0.22900937677928868,-0.3084919285223796,2018-03-01,60,3,6,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-0.3142995887247693,0.22573742857592238,-0.294007968118759,2018-04-01,91,4,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-0.3278116668361658,0.20497676616373176,-0.28165312301868395,2018-05-01,121,5,4,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.3352260082098855,0.19253786272935805,-0.2964167726252523,2018-06-01,152,6,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.3739563595148142,0.3026967258383676,-0.3666809829603555,2018-10-01,274,10,5,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.36171907151835037,0.26892976792070356,-0.34072600865905633,2018-11-01,305,11,6,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.3222835058414429,0.23983298862263566,-0.30620914322492726,2018-12-01,335,12,10,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Hisar,Rabi Winter Crop | Hisar District Haryana,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
