system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
1,-0.24243923681603025,0.16968616164400985,-0.21290135721436917,2016-02-01,32,2,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.2765222318672748,0.20506726489263438,-0.2623158964085674,2016-04-01,92,4,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.28432328510042026,0.18335132083017397,-0.24160530011611797,2016-05-01,122,5,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.17336946272401618,0.20560199721645106,-0.2161786060300688,2016-10-01,275,10,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.2239173237401969,0.22069089353003443,-0.2488252822366295,2016-11-01,306,11,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-0.27460243115124433,0.23531048300625942,-0.28339708362371874,2017-01-01,1,1,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.2518694534603665,0.20919489399237765,-0.2444966340960066,2017-02-01,32,2,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.3034935618944182,0.24409930280932937,-0.29566031488937583,2017-03-01,60,3,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-0.320654103151755,0.206222529759166,-0.27464036560089566,2017-05-01,121,5,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.26974851957136947,0.211702589587175,-0.2544944475338679,2017-06-01,152,6,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.37802703683746175,0.3229613170466194,-0.376677104125054,2017-09-01,244,9,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.21689256768252732,0.19011890352742397,-0.22761977918963422,2017-10-01,274,10,6,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.2079248577387496,0.19310019513931131,-0.22658323009250098,2017-11-01,305,11,4,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.2595697349619475,0.2286415393185432,-0.260347167257321,2017-12-01,335,12,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.25430302735470295,0.20015430320114874,-0.2538761200420188,2018-01-01,1,1,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.2631507737412124,0.21914988471515615,-0.2641358114933805,2018-02-01,32,2,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.31989853617202774,0.244480688870532,-0.30559082142645844,2018-03-01,60,3,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-0.2742632701472392,0.24262740736816213,-0.2860335119532049,2018-04-01,91,4,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-0.2596791144014269,0.17956021199058525,-0.2348756801709462,2018-05-01,121,5,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.3103638413627154,0.1894582542574925,-0.26948741835341555,2018-06-01,152,6,1,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.3812620316416783,0.35969242606853763,-0.3988403966203886,2018-10-01,274,10,2,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.06740011858430035,0.14094242260831902,-0.13276929302056328,2018-11-01,305,11,3,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.2506835854864914,0.21759246998126,-0.2583632212341207,2018-12-01,335,12,5,Nov-Apr,Sentinel2_SR_Harmonized_10m,RBC_Ludhiana,Rabi Winter Crop | Ludhiana Punjab wheat belt,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
