system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
10,-0.5787231836529669,0.8322012752689933,-0.7450580804898601,2016-11-01,306,11,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.4891641431434856,0.68166800322341,-0.6103055926356373,2017-04-01,91,4,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.5979424308474425,0.8642496508699683,-0.7570691278851016,2017-11-01,305,11,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.5607320426467384,0.7800659025710424,-0.7036024285538887,2017-12-01,335,12,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.5763887797214067,0.7948099466874914,-0.7174056132950274,2018-01-01,1,1,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.5377122342225107,0.8079288312136867,-0.7053399000571887,2018-11-01,305,11,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.5991735684806375,0.816978840834661,-0.7347473494129523,2018-12-01,335,12,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.5431054636930555,0.7585237279667272,-0.6795393281207889,2019-01-01,1,1,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.5037610363760152,0.6794743187747124,-0.6055032006204978,2019-02-01,32,2,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.4758650959271548,0.6850370344859615,-0.5988143084000136,2019-03-01,60,3,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.46954387766567096,0.7298993482504841,-0.6177507368000191,2019-04-01,91,4,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,-0.524840342503279,0.8263796154945132,-0.6820484007379432,2019-07-01,182,7,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,-0.5909311337683186,0.8799498801699377,-0.7673936582129239,2019-10-01,274,10,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,-0.58810677708116,0.859363655494235,-0.7539583674339032,2019-11-01,305,11,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,-0.4916214443736638,0.7827305356987289,-0.6788070721517087,2019-12-01,335,12,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,-0.4492529474823944,0.6841469633562269,-0.59784699304808,2020-01-01,1,1,5,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,-0.29630543843007356,0.5118278265367258,-0.4353265510581816,2020-02-01,32,2,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,-0.5064060915031677,0.7076809192692647,-0.6252831980234381,2020-03-01,61,3,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,-0.3648075417902579,0.5862384335119414,-0.5089573095206914,2020-04-01,92,4,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,-0.5328088048277194,0.8196172294262887,-0.7006295880280976,2020-09-01,245,9,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,-0.591113354037763,0.869995146605113,-0.7579570054669506,2020-10-01,275,10,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,-0.5612578995766925,0.8464180808211268,-0.7415991397723662,2020-11-01,306,11,4,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Manas,Subtropical Hill Forest | Manas NP Assam,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
