system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
9,-0.4487438450023805,0.7131413571680044,-0.6489171899167555,2016-10-01,275,10,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.5349870355451392,0.7605108910471402,-0.7039126078952456,2016-11-01,306,11,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.34251096205135634,0.5444433428125232,-0.5014327899298886,2016-12-01,336,12,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.6087245438983773,0.6066171066589984,-0.6412763024066142,2017-02-01,32,2,3,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.4872494666933731,0.7703094441580364,-0.683304424586093,2017-10-01,274,10,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.34972392215571885,0.6594237981603733,-0.5856109418504246,2017-11-01,305,11,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.2721104714954395,0.5668706643606164,-0.5012322792461337,2017-12-01,335,12,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.14827188067041555,0.37556713930375785,-0.3141662682433199,2018-01-01,1,1,1,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.5854293696888059,0.616714359921117,-0.6209295480302431,2018-02-01,32,2,2,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.5378472856595357,0.46701555378588977,-0.5307958455613588,2018-03-01,60,3,8,Apr-Mar,Sentinel2_SR_Harmonized_10m,SBH_Rajaji,Subtropical Hill Forest | Rajaji NP Uttarakhand,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
