system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
36,-0.21651314974436742,0.3101735010462031,-0.2780831849041862,2019-01-01,1,1,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.2684879244343632,0.23401474154915353,-0.24483607950588543,2019-02-01,32,2,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.08145307320065953,0.151346152638016,-0.0938665398403334,2019-03-01,60,3,5,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.009082995895420226,0.10474769343371446,-0.008464179275883964,2019-04-01,91,4,5,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-0.039449414197414476,0.21175983868006287,-0.13246027746614455,2019-05-01,121,5,4,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-0.16796800909386256,0.2956628526301731,-0.22019335157851921,2019-06-01,152,6,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,-0.17807408912136785,0.2629760165519852,-0.20192150525136743,2019-07-01,182,7,1,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-0.1629835079500241,0.17379153871239958,-0.12162097454315866,2019-08-01,213,8,3,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,-0.02063120166683951,0.15900094437790516,-0.054969489992074703,2019-10-01,274,10,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,-0.007113867240940437,0.33826927000993123,-0.22017148749694201,2019-11-01,305,11,1,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,-0.12053141911860296,0.37833088570485696,-0.27767188543103966,2019-12-01,335,12,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,-0.21852750198927134,0.332534870307652,-0.2902161424463628,2020-01-01,1,1,3,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,-0.28434534230037894,0.2667202896615475,-0.2820446991793918,2020-02-01,32,2,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,-0.19287415258244578,0.19814459640462964,-0.17944755723765307,2020-03-01,61,3,3,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_Pichavaram,Tropical Dry Evergreen | Pichavaram Forest TN,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
