system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
32,-0.5625211761454677,0.3664135488777384,-0.43707121842774516,2018-09-01,244,9,1,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.155415933119562,0.4018937706676352,-0.3129392916668658,2018-12-01,335,12,1,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.37711736199801804,0.5345924989186723,-0.47548392274905305,2019-01-01,1,1,3,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.4806036387687439,0.49541845036894194,-0.48284561020672373,2019-02-01,32,2,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.5024224831842983,0.4186205311808179,-0.4519362615788595,2019-03-01,60,3,4,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.49499968041458137,0.3564775522402819,-0.40800923081492485,2019-04-01,91,4,3,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-0.474202236046206,0.26478124129506486,-0.3413113525828711,2019-05-01,121,5,5,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-0.5211773014292759,0.2643283495358294,-0.36507056532794907,2019-06-01,152,6,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-0.5320784394218953,0.3453093160103763,-0.38962844747477915,2019-08-01,213,8,1,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,-0.4024106972816114,0.45105502538134784,-0.41011755016155804,2019-10-01,274,10,1,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,-0.36891106331043483,0.6933325780964593,-0.5695292486001232,2019-11-01,305,11,1,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,-0.35293460336439086,0.6787950688302922,-0.5453252043223692,2019-12-01,335,12,2,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,-0.4416045501897202,0.6810808223232843,-0.5809446431639763,2020-01-01,1,1,4,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,-0.4749317285933359,0.6095023824879341,-0.5468568644838541,2020-02-01,32,2,3,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,-0.5007526099238461,0.4326529374733045,-0.4537879376975588,2020-03-01,61,3,3,Jan-Dec,Sentinel2_SR_Harmonized_10m,TDE_PointCalimere,Tropical Dry Evergreen | Point Calimere WS TN,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
