system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
0,-0.36514915058734165,0.11888898912313266,-0.2609693299488467,2016-01-01,1,1,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.31190634060460753,0.05719957912927066,-0.17742394956632068,2016-05-01,122,5,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.34685133418107783,0.1325663229214383,-0.2418060382692451,2016-09-01,245,9,2,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.36072347798533844,0.14193088686839136,-0.26832458844806556,2016-10-01,275,10,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.37318278017828505,0.12270734229053416,-0.26798456734721426,2016-11-01,306,11,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.36594549200219767,0.10210809517788555,-0.24702106384235573,2016-12-01,336,12,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.3372490442513596,0.09084158690315002,-0.22400513546931156,2017-02-01,32,2,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.34937660640308377,0.06641156533296118,-0.20741022781679488,2017-03-01,60,3,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-0.322259323097492,0.05641059431726207,-0.1851827892238298,2017-05-01,121,5,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.3088498669157219,0.04288361240361211,-0.16235381052456896,2017-06-01,152,6,2,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.34894885862918196,0.17826687920682024,-0.27125886997326815,2017-09-01,244,9,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.3606818551116734,0.14991080199450027,-0.2814003866076565,2017-10-01,274,10,6,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.37379213920152865,0.13236724929367435,-0.27646879738210867,2017-11-01,305,11,8,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.36971922685592656,0.11528987041809195,-0.2586442641958754,2017-12-01,335,12,5,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.37717120569108087,0.10731825625085165,-0.2546437400789648,2018-01-01,1,1,5,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.35796468700647016,0.08797108249789067,-0.2324381639374101,2018-03-01,60,3,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-0.3196973868236557,0.059455572125749326,-0.1866209271711031,2018-05-01,121,5,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.3212744435153205,0.045443695212159706,-0.17023485560019774,2018-06-01,152,6,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,-0.338825458568685,0.05589855927280561,-0.18674001743832958,2018-09-01,244,9,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.3565488942126833,0.07563161115318093,-0.21878572256256787,2018-10-01,274,10,8,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.3701092877666668,0.08733567495063636,-0.24369083700348254,2018-11-01,305,11,5,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.35811986546105784,0.0880908854469518,-0.22926832633411917,2018-12-01,335,12,12,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.36238315820958594,0.08506565423257992,-0.22541249058331794,2019-01-01,1,1,6,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.33634528545367853,0.07220460064257334,-0.20185985874400325,2019-02-01,32,2,7,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.3297763934667328,0.05528416307839127,-0.18108410189492052,2019-03-01,60,3,10,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.32595731396130834,0.05004564032768154,-0.17547961091220013,2019-04-01,91,4,9,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,-0.3203977362123639,0.052658403751341225,-0.17419361249187937,2019-05-01,121,5,11,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,-0.30775955110524816,0.03525208017174093,-0.14533215152997128,2019-06-01,152,6,11,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,-0.2889407320787424,0.02335462131771688,-0.12492546648251932,2019-07-01,182,7,8,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-0.327333240629186,0.04101818064545381,-0.15664329977068756,2019-08-01,213,8,5,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,-0.3462497686659559,0.09583550695495065,-0.2093001240788064,2019-09-01,244,9,6,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,-0.35230330177873953,0.09620449519171025,-0.22060312074602748,2019-10-01,274,10,10,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Jaisalmer,Tropical Thorn Scrub | Desert NP Jaisalmer Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
