system:index,NDSI,NDVI,NDWI,date,doy,month,n_scenes,season,sensor,site_key,site_label,year,.geo
0,-0.6206826917199875,0.54459409544634,-0.6294903825217635,2016-01-01,1,1,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.6292491654082439,0.33795023221578147,-0.5210669439331682,2016-03-01,61,3,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.5762263358620532,0.24655144539360035,-0.4098873612828456,2016-05-01,122,5,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.5778379057469204,0.251424451539151,-0.40170035901003726,2016-06-01,153,6,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.5553985774795648,0.7322279912226612,-0.6601728250171381,2016-10-01,275,10,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.5504025570414254,0.7033365632709055,-0.6534133350410778,2016-11-01,306,11,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.6179406016225957,0.6953986676763304,-0.6783563540121407,2016-12-01,336,12,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.6006036676572118,0.3809782509218406,-0.49356058728637936,2017-03-01,60,3,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.5585650698150461,0.2452793487813338,-0.3977033739646989,2017-04-01,91,4,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.593483271536942,0.6425340336073575,-0.6459773689509175,2017-10-01,274,10,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.6750531868672297,0.5343030616529937,-0.6616257287833917,2017-11-01,305,11,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.5056086840886557,0.3567922501888537,-0.4436917719678961,2017-12-01,335,12,2,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.5941789935425529,0.36902703447957236,-0.4947398179607157,2018-01-01,1,1,2,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.6038063340211415,0.28493415779888875,-0.46321162402796073,2018-03-01,60,3,2,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-0.5720004064082372,0.2571490622398607,-0.4158865341360146,2018-04-01,91,4,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.6290775667412782,0.36012486281526346,-0.5063003300749596,2018-06-01,152,6,1,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.5945168354272065,0.7394717408154375,-0.6893556446835315,2018-10-01,274,10,2,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.6014256978847144,0.6905860719684581,-0.6775500776832132,2018-11-01,305,11,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.6339329659690337,0.6350070644797338,-0.6521852420989248,2018-12-01,335,12,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.5968262893090198,0.5141469858970256,-0.5664520230398084,2019-01-01,1,1,4,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.5874750737908384,0.40675930281691286,-0.5007059272289831,2019-02-01,32,2,3,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,-0.606662038519899,0.37493743654430833,-0.4973177390786132,2019-03-01,60,3,7,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,-0.5353389131944446,0.2697066843251406,-0.38019163596456595,2019-04-01,91,4,5,Jun-May,Sentinel2_SR_Harmonized_10m,TTF_Ranthambore,Tropical Thorn Scrub | Ranthambore NP Rajasthan,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
